Sector,ProfitMargin,ROA,DebtRatio,EarningsYield,MarketCap,CompanyCount
Communication Services,0.17013593489581605,0.10015970193570944,0.27618925916446735,0.04657961126631161,881854269293.7142,7
Consumer Discretionary,0.15259235290819936,0.11287162074913258,0.4035792003698352,0.041240088197427346,456650594596.5714,7
Consumer Staples,0.052167807308018066,0.04201657592186191,0.30950970337589634,0.05102229730924045,21358967580.444443,9
Energy,0.17820299830474645,0.09022178868456247,0.28836321926500535,0.03530577269192063,100386008795.42857,7
Financials,0.24056297681613023,0.06606545060812416,0.17935147572605123,0.06028717357809573,127920402010.35294,17
Health Care,0.15987384104013264,0.10184772239221188,0.24734555511641498,0.0421530844457758,140563655552.0,16
Industrials,0.09859756280209839,0.07655557732628414,0.2774890140005751,0.03475785142247821,82938052049.45454,11
Information Technology,0.13001880083593992,0.06498312184377868,0.3702887250614416,0.02735243996586186,256418770875.73334,15
Materials,0.0982033371657949,0.05458838574990359,0.25854292485357633,0.033772234846815484,50427758518.85714,7
Real Estate,0.2764639949532558,0.03744278097621499,0.4860162275581542,0.03577033895131482,41139188642.90909,11
Utilities,0.15832099213095235,0.02763160267379279,0.4303363299344416,0.04463758329168182,57743027313.77778,9
